JobTitle,Company,Location,PostDate,ExtractDate,Summary,JobUrl
"Data Analyst, R&D Validation",Northvolt,Västerås,Mer än 30 dagar sedan,2020-09-21,Investigating problem-solving in terms of data comparison and analysis. Debugging and updating python code according to test protocol and data.,,https://se.indeed.com/rc/clk?jk=079c2195957d56d2&fccid=0284097cdcfc2e52&vjs=3
Data Scientist /Analyst,Cubane Solutions AB,Stockholm,5 dagar sedan,2020-09-21,Perform analyses on large sets of data to extract impactful insights on user behavior that will help drive product and design decisions.,,https://se.indeed.com/rc/clk?jk=7dbd6d55d52d4e4f&fccid=a00e0f48d2d490c3&vjs=3
Data Analyst in Translational Science - Oncopeptides,Haeger & Carlsson | Executive Search & Interim AB,Sverige,5 dagar sedan,2020-09-21,Proficiency in working with databases and analysis tools of such data. Reviewing and ensuring accurate data presented in clinical study reports and scientific…,,https://se.indeed.com/rc/clk?jk=cdab308f58c3da7b&fccid=4976cfc9f682fe80&vjs=3
Marketing Data Analyst,Epidemic Sound,Stockholm,18 dagar sedan,2020-09-21,Experience using data visualization to create compelling data stories. Understanding of data selection and analysis. How you will make an impact.,,https://se.indeed.com/rc/clk?jk=c890787a8c6247e3&fccid=0724ac049d2b292c&vjs=3
Data Analyst,Rovio Mobile Oy,Stockholm,6 dagar sedan,2020-09-21,"Preparing data sets and automating analyses using SQL. Know-how in big data technologies, e.g Presto, Athena, Hive. Our development is driven by our players.",,https://se.indeed.com/rc/clk?jk=d37d1e9aae1354f6&fccid=4390b8875bb81a53&vjs=3
Business Intelligence Analyst / Data Scientist,Curb food,Stockholm,5 dagar sedan,2020-09-21,"+3 years in a data domain (business intelligence / data science / data engineering). You will be able to work with all aspects of the data domain, analytics,…",,https://se.indeed.com/rc/clk?jk=5804a74f082ae567&fccid=4d3d383dc610d350&vjs=3
Data Analyst (Digital) till ICA Bankens Analysteam,ICA Gruppen AB,Solna,6 dagar sedan,2020-09-21,ICA Banken har lagt en utmanande och spännande strategi för att ta en tydlig position på marknaden. Som ett led i detta gör vi stora satsningar på området…,,https://se.indeed.com/rc/clk?jk=8f49cfa0517538f7&fccid=d64c292ff540899b&vjs=3
Senior Data Analyst,MachineGames,Uppsala,Mer än 30 dagar sedan,2020-09-21,5+ years' experience in AAA or mobile games development as a game data analyst or equivalent. High comfort level working with structured and unstructured data.,,https://se.indeed.com/rc/clk?jk=7de887f40ea2ac07&fccid=9dcab69359083d38&vjs=3
Business Analyst,Cytiva,Uppsala,3 dagar sedan,2020-09-21,You are great at analyzing large amounts of data and communicating insight. Do you have a passion for data driven decision and a curious mindset?,,https://se.indeed.com/rc/clk?jk=9d5d19c200422b8f&fccid=c46411dafcae5d08&vjs=3
Marketing Analyst till Intrum,Intrum Justitia,Stockholm,Idag,2020-09-21,"Vill du analysera och förse Intrums organisation med värdeskapande insikter och beslutsunderlag, baserat på data från marknad och CRM?",,https://se.indeed.com/rc/clk?jk=f4dc5433b7b51904&fccid=75320a96403450af&vjs=3
Data Analyst,MatHem,Stockholm,Mer än 30 dagar sedan,2020-09-21,"Work with engineers to understand how we collect data and what we need to do to produce reliable data, e.g. what instrumentation we need.",,https://se.indeed.com/rc/clk?jk=44f6a766b2ee5cfd&fccid=7313fe1cf4f442a0&vjs=3
Hemfrid söker en Junior Business Analyst (Extrajobb),Hemfrid,Sverige,3 dagar sedan,2020-09-21,"Identifiera, samla in, bearbeta och tolka relevant data från interna och externa källor. Som Junior Business Analyst på Hemfrid får du kliva in en snabbrörlig…",,https://se.indeed.com/rc/clk?jk=33ee96cd2dcad3a1&fccid=7eab9ab059fdaa7f&vjs=3
Data Analyst / Developer,The Flowminder Foundation,Stockholm,26 dagar sedan,2020-09-21,"Flowminder is a non-profit foundation that specialises in the analysis of anonymised mobile phone data, satellite imagery, and household survey data for…",,https://se.indeed.com/rc/clk?jk=41eb57e2e872ebf5&fccid=d0552785b06a9045&vjs=3
